r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
32.3151   458232   -0.00922577   -0.00514065   0.0116136
32.3784   137926   -0.00973199   0.121639   -0.0489041
32.5046   182492   -0.0091394   -0.00611332   -0.069706
32.5675   273310   0.0049279   0.0434367   0.00662999
32.6304   453690   -0.0133425   -0.0149119   0.0216258
32.6931   91548   -0.0385537   -0.0950497   0.0696339
32.7556   46316   -0.0469511   0.0547755   -0.0865529
32.8181   546610   -0.0140435   0.0295969   0.0149972
32.8804   366080   -0.0215088   0.017766   -0.027634
33.0047   137110   -0.00468442   0.000681709   0.0957502
33.0667   181754   0.00131718   0.0422395   0.00071751
33.1286   319982   -0.0135134   0.020576   0.00828317
33.1903   229614   -0.0222726   0.00888821   0.0460428
33.2519   181902   -0.0175496   -0.0401644   0.0127646
33.3135   183050   -0.0121441   0.00739112   -0.055364
33.3749   319508   -0.00977582   -0.00722291   0.0265171
33.4974   91040   -0.0295893   -0.001616   -0.0541618
33.5584   502470   -0.0146706   -0.0421202   -0.0242737
33.6194   184532   -0.0214611   0.0548494   0.00957172
33.6802   137048   -0.021746   -0.0246311   -0.0756637
33.8016   365216   -0.0227556   -0.0368446   0.00547113
33.8621   274706   -0.0293043   -0.0406309   0.0102289
33.9828   90530   0.00113184   0.0326948   -0.0612077
34.043   229240   -0.00816533   -0.00482774   -0.00643861
34.1031   456786   -0.0101573   0.00647059   0.0187496
34.1631   136248   0.00164492   0.0664192   0.0683393
34.223   503724   -0.0091695   0.0225947   -0.019001
34.2828   228548   -0.0177525   0.0281924   0.0514557
34.402   276186   -0.0136832   0.0105763   -0.0282341
34.4615   319350   -0.0154958   0.063201   -0.0301741
34.5209   91010   -0.0157896   -0.0946866   0.00749652
34.5801   275164   -0.025474   -0.0123001   0.0582035
34.6393   106000   0.00361495   -0.0621357   0.046634
34.6984   182470   -0.0202476   0.0432478   0.0236576
34.7573   182940   -0.023423   -0.020242   -0.0407788
34.8749   45064   -0.0126825   0.0119897   -0.0236636
34.9336   366394   -0.0147873   0.0074185   -0.0450429
34.9922   410884   -0.00970632   -0.000923177   0.0095687
35.0506   91230   0.00650589   -0.0639294   -0.0809178
35.109   182558   -0.0254925   -0.0118499   -0.0717282
35.1673   185446   -0.0277821   0.0565274   0.0499972
35.2254   184142   -0.0199772   -0.0351291   -0.00857969
35.3415   90586   -0.0148511   0.0720219   0.0354405
35.3994   229608   -0.00473654   0.0698874   0.05993
35.4572   458576   -0.0164782   0.0250437   0.019398
35.5149   181248   -0.0132963   0.01122   0.0448133
35.63   275056   0.00235697   0.0273785   0.0450313
35.6874   183204   -0.00330487   0.00700388   0.0528555
35.802   92264   4.01501e-05   -0.0781762   0.0531717
35.8592   411568   -0.00875387   0.0191925   0.0144469
35.9162   181622   -0.00476752   0.00136167   -0.00804367
35.9732   92124   -0.0259791   -0.09363   0.00887047
36.03   183696   -0.0177588   -0.0934088   -0.0635888
36.0868   275506   -0.0120734   -0.0614382   -0.034917
36.1435   366030   -0.00901331   0.0172655   0.0503585
36.2567   46308   -0.0355438   -0.005138   -0.0148181
36.3131   362916   -0.00599261   -0.0177019   -0.040551
36.3694   92712   -0.0332119   -0.0743811   -0.0199455
36.4257   137984   -0.0239992   -0.0190844   0.032418
36.4819   92016   -0.0264046   -0.0273688   0.00469624
36.5379   181812   -0.0144282   0.0233788   -0.0274977
36.5939   90178   0.00245345   -0.0751685   0.0637078
36.7057   91450   -0.0224381   -0.00401324   0.033294
36.7614   137146   -0.000873798   0.0279603   -0.0125535
36.8171   320954   -0.00656993   0.0472921   0.0410225
36.8726   137788   -0.00101172   0.0962326   0.0572829
36.9281   92276   0.0324882   0.187893   0.117963
36.9835   734048   -0.00847977   0.0418551   0.0371862
37.0941   136746   0.0154056   0.0774951   0.0809589
37.1493   184760   -0.0278546   0.0384993   -0.00181113
37.2043   272864   0.00349372   -0.000850985   -0.0540751
37.2593   136782   0.024335   0.134379   0.0954655
37.3691   182464   0.000954382   0.0419295   0.114871
37.4238   273878   -0.00365117   0.0136924   0.0158306
37.5331   45790   -0.0133647   -0.0542535   -0.138497
37.5876   229526   -0.0198978   0.0569891   -0.0575467
37.642   183384   -0.0165328   0.0545237   0.0138586
37.6964   183748   -0.00976999   0.0235245   0.0452262
37.7507   274456   -0.00301025   0.0447823   0.0364154
37.8049   90644   0.0184684   0.0723419   0.126581
37.859   45930   -0.0280159   -0.0234594   0.00767817
37.967   182170   -0.00536548   -0.0606459   -0.0846254
38.0209   92532   -0.0188677   0.0312686   0.106086
38.0747   275416   -0.0111304   -0.0301207   0.0298369
38.1285   60556   -0.000966857   0.0611371   0.15238
38.2357   364162   0.0121495   0.0442315   0.0431654
38.2892   184818   0.0104726   0.0755573   0.0771465
38.4493   369134   0.00817392   0.082721   0.111218
38.5025   185134   0.00197578   -0.0149959   0.146775
38.5557   183124   -0.00674431   -0.0355278   -0.0533985
38.6088   90776   -0.00357685   0.0960357   -0.0646377
38.6618   185160   0.00318308   0.112495   0.0760151
38.7147   229856   -0.000474356   0.0198261   0.0858544
38.8203   91684   -0.00898116   0.0184897   -0.0483067
38.873   275002   -0.00165652   -0.0153898   0.0776953
38.9257   182468   0.0253502   0.0535328   0.0945861
39.0832   365538   0.00283119   -0.0205225   0.0785339
39.1355   92062   -0.0105954   0.0200359   -0.0157516
39.24   46676   -0.0309424   -0.139114   -0.0369326
39.2922   90738   0.0132702   0.0797957   0.146766
39.3442   229586   -0.000865304   0.0530446   0.0302283
39.3962   92530   -0.0192434   -0.117279   0.0338665
39.4482   45436   0.00835256   -0.206486   0.0408482
39.5001   184772   -0.0165723   -0.0223268   -0.00100216
39.5519   181858   0.00405425   -0.0226779   0.0507323
39.6036   139200   0.00361436   0.112635   0.0167746
39.6553   137202   0.0194688   0.169024   0.103191
39.7069   275890   0.013538   0.0488243   0.150676
39.7584   185018   0.0139009   0.131434   0.12611
39.8099   91270   0.0142989   0.176346   0.27205
39.9126   183784   0.012753   0.0881414   0.137723
40.0151   92552   0.0353388   0.0119963   0.141875
40.0662   323058   0.00667965   0.0213524   0.104375
40.1173   138300   -0.0032145   0.0639391   0.01864
40.1683   91634   0.0301158   0.0673971   0.144658
40.2192   184540   0.0115622   -0.0458063   0.0122845
40.2701   185192   -0.0104377   0.0839094   -0.0290086
40.3209   91790   -0.0166665   -0.019029   0.0830256
40.4224   45114   0.0220514   0.081418   0.114574
40.473   137332   0.0229051   0.0965746   0.10544
40.5235   182828   0.00410169   0.0678667   0.0393179
40.574   45540   0.0122372   0.0355192   0.159533
40.6748   184100   -0.000508814   0.0446582   0.023286
40.7252   93152   -0.00563795   -0.059175   0.0743459
40.8256   90878   0.017372   0.140873   0.0726502
40.8757   136614   0.00550744   -0.0238693   0.0629971
40.9258   139406   -0.011221   -0.0486907   -0.0148554
40.9758   137948   0.00798362   0.0602002   0.0634381
41.0257   92554   -0.0180708   0.0271259   -0.0184313
41.0756   184100   0.0177857   0.126233   0.0905695
41.1254   92032   0.0420481   0.2708   0.11508
41.2745   321804   0.0239715   0.141729   0.144029
41.3241   185660   0.0144744   0.0590097   0.0163357
41.3736   91414   -0.00854515   0.0296154   0.0564651
41.4231   46186   0.00504876   -0.0650791   0.213662
41.4725   185876   0.0169579   0.00587725   0.0523392
41.5218   183834   0.0195773   0.133655   0.117523
41.6203   15408   0.0220929   -0.0672888   -0.483901
41.6695   92786   -0.00543804   -0.0178636   0.00737598
41.7186   183710   0.0252634   0.0890233   0.0213662
41.8166   92582   0.000759084   0.105222   0.0747202
41.8656   182612   0.00658256   0.0691256   0.123717
41.9145   91778   0.00999167   -0.0890957   0.0242349
41.9633   91540   0.0075827   0.054582   -0.0186112
42.012   230364   0.00631607   0.0683262   0.0616545
42.1094   93712   -0.0002251   -0.0213042   -0.012184
42.255   275404   0.00741844   0.0987183   0.113244
42.4002   93454   -0.00147192   -0.121583   0.0193839
42.4484   229386   0.013462   0.0292608   0.129826
42.4966   45666   0.0381256   0.270194   0.285024
42.5448   91478   0.0370346   0.276602   0.161848
42.5929   91792   0.0413125   0.147535   0.303346
42.6409   45752   0.0394564   0.0319121   0.172038
42.7369   184410   0.0193846   0.132774   0.0986226
42.7847   139166   0.0165272   0.159949   0.0763489
42.8326   185068   -0.00256982   -0.0268245   -0.0110299
42.8804   91600   0.0290323   0.114092   0.12561
42.9757   275500   0.0222461   0.0497869   0.136106
43.1184   93048   -0.00159825   0.0241638   0.0608598
43.1659   92318   0.0107366   -0.09172   0.0468187
43.2133   45290   0.0338928   0.0777046   0.18232
43.2607   45234   0.010623   -0.111533   0.0711308
43.308   90836   0.0309014   0.0668675   0.113627
43.3552   91244   0.008116   0.0908498   -0.00644016
43.4024   93786   0.00600648   -0.0253849   0.133997
43.5437   46418   0.00374726   0.0223166   -0.142046
43.5907   94296   0.00389114   0.0975635   0.0615652
43.6377   138600   0.0122598   -0.00702792   0.0561724
43.7314   182988   0.0140851   0.060469   0.0487161
43.9183   183044   0.0160524   0.082298   0.0794965
43.9649   137822   0.0329012   0.0688113   0.151188
44.058   45870   0.0229954   0.0284479   0.0696245
44.1044   184696   0.0213948   0.104917   0.265823
44.1508   138682   0.0210017   0.0275584   0.162531
44.1972   93216   0.0184741   -0.0375053   0.0800982
44.2435   93672   0.00143974   -0.020631   0.0596757
44.2897   182312   0.0282445   0.15483   0.149422
44.3821   46108   0.0128794   0.129166   0.203133
44.4743   91818   0.0105953   -0.0922871   0.0285272
44.6122   91356   0.0367265   0.142463   0.15613
44.658   45018   0.0098116   -0.123953   -0.0174636
44.7039   47108   0.0132203   -0.0667491   0.124997
44.7496   91076   0.00816352   0.0818393   0.0226624
44.7954   94340   0.0109083   0.107571   -0.129642
44.8411   92200   0.00571635   -0.0111925   -0.0298994
45.0233   185318   0.0191149   0.0708764   0.168312
45.0688   15604   0.0262355   -0.17918   0.366527
45.1596   92664   0.0267586   -0.125219   0.0670037
45.2954   45360   0.0265969   0.117364   0.0489686
45.3406   137736   0.0259163   0.252252   0.257625
45.3857   46640   0.00914569   0.30525   0.165706
45.4308   91434   0.0218807   0.169566   0.0544998
45.4759   139660   0.017351   0.0871397   0.0896798
45.5209   93924   0.0257797   0.105756   0.301859
45.7004   228004   0.0205763   0.186785   0.0430886
45.8793   91476   0.0120121   0.11483   -0.143016
46.013   46164   0.0397855   0.315545   0.198164
46.1019   94598   0.0198267   0.0745049   0.14376
46.1463   45760   0.00924738   0.177826   0.0628696
46.235   92452   0.00891355   -0.142304   0.141168
46.2792   46874   0.0276961   -0.0438293   0.0430587
46.3676   93116   0.0324827   0.145528   0.120891
46.4118   92100   0.0282086   0.0354925   0.163945
46.5879   91460   0.0263237   0.105635   0.0243428
46.6757   45642   0.0249105   0.0139175   0.0966008
46.7196   94074   0.0138297   0.0889594   -0.151699
46.7634   91018   0.0233822   0.138527   0.232971
46.8509   47466   0.0308214   0.0867738   0.328656
46.9382   45232   0.0146169   -0.0458754   0.0542726
47.0254   91052   0.0153129   0.035542   0.095368
47.4156   94714   0.0262351   0.000192032   0.210723
47.4588   92010   0.0116704   0.0321995   -0.0508574
47.5019   46516   0.0304261   -0.0693447   -0.0926803
47.588   92340   0.0302898   0.152572   0.0103562
47.7598   91864   0.0302933   0.0208533   0.132987
47.8455   45502   0.0256865   -0.245177   -0.16483
47.931   90994   0.0257166   0.0768029   0.0637624
48.059   47066   0.0194487   0.104536   0.0071407
48.2716   90564   0.017634   0.190564   -0.0800228
48.5254   15576   0.0283285   -0.113862   0.111998
48.6097   93482   0.029488   0.141264   0.0908842
48.7359   46062   0.0152295   -0.184659   0.0974172
48.7779   92634   0.0327301   0.0912949   0.251389
48.8618   92096   0.0321489   0.166643   0.171272
49.1126   90768   0.0267945   0.107944   0.139024
49.5278   45490   0.0184886   0.199193   0.190699
49.734   46856   0.0271954   0.195082   0.0411396
49.8163   46590   0.0304343   0.022468   0.137312
49.8984   93346   0.0322399   0.0345414   0.163214
50.0623   92270   0.0333748   0.0545279   0.0940123
50.3885   45902   0.0267616   -0.183357   0.114456
50.8737   46596   0.0241079   -0.0623743   0.145548
50.9542   46840   0.027863   0.139162   -0.0864169
51.0345   93146   0.0294963   0.119433   0.337425
51.2747   46612   0.0322017   0.356877   0.147906
52.0279   15586   0.01714   0.265578   -0.191557
52.1065   93104   0.0239255   -0.0632219   -0.0186081
52.2635   47004   0.0283874   0.061376   0.375192
53.1954   46560   0.0203602   -0.0906914   0.0513296
53.2723   46790   0.0209112   0.428973   -0.0243128
54.3379   46608   0.0200583   0.52189   0.765408
55.4938   15552   0.0241338   0.759688   -0.0897981
