r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
30.1642   161802   -0.00552686   0.0203162   -0.0228397
30.2327   101816   -0.00377697   -0.0932605   -0.0262009
30.301   100392   0.000353426   0.0390102   0.0257789
30.3692   40216   -0.00877791   0.104316   0.195756
30.4372   121272   0.00497232   0.0531342   -0.0109521
30.5051   201192   0.00137858   0.0267838   0.0713156
30.6404   40518   0.00650922   -0.0623532   0.0127039
30.7078   140996   0.00323249   0.0451024   -0.00834489
30.7751   202036   -0.00110645   0.0104662   -0.0415902
30.8422   40264   0.0148481   0.0660745   0.0851112
30.9092   60708   -0.00166527   0.0716222   -0.0586226
30.976   120714   0.00100625   0.00709487   -0.0534655
31.0427   80698   0.00485196   -0.0400415   0.127201
31.2419   141322   0.00325615   -0.0134869   0.0333212
31.308   121294   -0.00181942   0.00635612   0.0467269
31.374   168128   -0.00632527   0.0165138   -0.0367484
31.4398   162592   -0.00543038   -0.0170355   -0.000667733
31.5055   120684   -0.0018005   0.0446196   0.0352792
31.6365   80806   -0.00507963   0.00874357   0.0127862
31.7018   121222   -0.00468883   0.0762766   0.045512
31.767   161990   -0.000100567   0.0119114   -0.00579966
31.832   142966   -0.00325558   -0.00210941   -0.0382246
31.9617   40436   -0.000450822   -0.0287835   -0.0478509
32.0263   162760   0.00312614   -0.0512261   -0.0673219
32.1552   19964   0.00397916   0.0307656   -0.064807
32.2194   180216   0.001616   -0.0439986   0.00533238
32.2836   80328   0.00545385   0.0290284   0.0473637
32.3476   80162   0.000805433   0.0858576   -0.0091116
32.4114   121242   0.00106779   -0.00816863   0.00451648
32.4752   202004   -0.000387563   -0.00945987   0.0814624
32.5388   61458   -0.00186786   0.198377   0.232347
32.6656   80814   -0.00371003   0.0610865   -0.021676
32.7289   121552   -0.00648086   0.0502168   0.102168
32.792   201070   -0.0051123   -0.00834541   0.0378228
32.855   40508   0.00782778   -0.11863   -0.112864
32.9179   20262   0.0141812   0.0683423   0.0167756
32.9806   242318   -0.00119942   0.0395103   0.0286823
33.0433   162244   -0.00401003   -0.0545298   0.00109588
33.1682   60982   -0.000249371   -0.0970248   -0.00190956
33.2305   81010   -0.0011872   -0.138825   0.0807896
33.2927   140962   -0.000866443   0.0115624   0.0818806
33.3547   100816   -0.00032334   0.0570979   0.00146644
33.4167   80072   0.000284764   0.24032   0.110025
33.4785   81202   -0.00618053   0.114693   -0.0597209
33.5402   142404   -0.00268558   0.0385967   -0.00404586
33.6633   40424   0.00244292   -0.108152   -0.00319852
33.7247   223176   0.00238318   0.00289106   0.0300679
33.7859   80958   0.0057389   -0.0235817   0.165321
33.8471   60530   -0.00316058   0.0295939   0.0383969
33.969   162034   0.000250103   0.0343935   0.0113666
34.0299   121154   0.00289602   0.0340689   0.06288
34.1512   39804   -0.0136107   0.0709653   0.0898176
34.2117   101094   -0.00672627   0.0523943   0.0542016
34.2721   201418   -0.00540694   0.0348524   0.0323289
34.3324   60818   -0.00918702   -0.101226   0.0790978
34.3925   224058   -0.002004   0.0408075   0.0725644
34.4526   100884   0.0061492   0.032126   0.0738814
34.5724   122160   -0.00150728   -0.00538469   0.13119
34.6322   140880   -0.00316773   -0.0361851   0.00944626
