index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
84 2 32 100800000 38400000 0.69953542 -1.2265292 1.4008261 1.2235986 8.0124171 287355.49
85 2 33 102000000 39600000 0.70176659 -1.2268612 1.3980279 1.2238152 7.9927073 287295.07
86 2 34 103200000 40800000 0.69964045 -1.2265244 1.3975194 1.2204543 8.0006327 287317.04
87 2 35 104400000 42000000 0.70150368 -1.2278932 1.3987322 1.223093 7.9961763 287261.79
88 2 36 105600000 43200000 0.70005178 -1.2266024 1.396259 1.2197328 8.0039833 287297.48
89 2 37 106800000 44400000 0.70000784 -1.228717 1.3955377 1.216831 8.0046281 287248.36
90 2 38 108000000 45600000 0.69908472 -1.2282278 1.395577 1.2159748 7.9993202 287198.52
91 2 39 109200000 46800000 0.69961295 -1.2277061 1.3948191 1.2165309 8.0273115 287182.65
92 2 40 110400000 48000000 0.69989198 -1.2280909 1.3922661 1.2140118 7.9779883 287185.74
93 2 41 111600000 49200000 0.69966164 -1.2287591 1.3917638 1.2124957 7.9998985 287188.58
94 2 42 112800000 50400000 0.70031912 -1.2293732 1.3912046 1.2123086 8.0329466 287155.07
95 2 43 114000000 51600000 0.70092459 -1.2294576 1.3927879 1.2147157 8.0236136 287185.93
96 2 44 115200000 52800000 0.69939074 -1.2284716 1.3936067 1.2142197 8.0133335 287135.0
97 2 45 116400000 54000000 0.70071913 -1.2298525 1.3910241 1.2122489 8.0098399 287169.53
98 2 46 117600000 55200000 0.69900947 -1.2302535 1.3886171 1.2068764 7.9932624 287096.75
99 2 47 118800000 56400000 0.69944795 -1.229895 1.3900327 1.2093082 7.9976354 287096.58
100 2 48 120000000 57600000 0.70045324 -1.2292361 1.3896118 1.2110541 7.9978616 287116.54
101 2 49 121200000 58800000 0.69890548 -1.2290413 1.3864621 1.2057776 7.994184 287064.26
102 2 50 122400000 60000000 0.70002694 -1.2318179 1.389216 1.207437 8.0320013 287044.9
103 2 51 123600000 61200000 0.70027224 -1.2306395 1.3850172 1.2047846 7.9847706 287057.41
104 3 1 124800000 1200000 0.70095012 -1.2308745 1.3859931 1.2065423 7.9936254 287008.64
105 3 2 126000000 2400000 0.70130748 -1.2309673 1.3867654 1.2077578 7.9867636 286973.06
106 3 3 127200000 3600000 0.70105353 -1.2316986 1.386978 1.2068582 7.9730129 286965.79
107 3 4 128400000 4800000 0.69929375 -1.2320878 1.385932 1.2027834 7.974697 286945.59
108 3 5 129600000 6000000 0.70015257 -1.2321185 1.383326 1.201435 8.0283451 286959.56
109 3 6 130800000 7200000 0.70008186 -1.2321334 1.3840487 1.2020366 8.0053088 286934.67
110 3 7 132000000 8400000 0.70026317 -1.2331663 1.3847997 1.2020267 8.016647 286919.0
111 3 8 133200000 9600000 0.70093431 -1.2326973 1.3836334 1.202336 8.0151249 286905.58
112 3 9 134400000 10800000 0.69956255 -1.2330965 1.3830176 1.1992635 7.9911018 286886.67
113 3 10 135600000 12000000 0.69961152 -1.233689 1.3819299 1.1976567 8.0218486 286888.99
114 3 11 136800000 13200000 0.70039719 -1.2326589 1.3842036 1.2021391 7.9973401 286868.03
115 3 12 138000000 14400000 0.69971753 -1.2327929 1.3812816 1.1980636 8.0411294 286806.6
116 3 13 139200000 15600000 0.70047716 -1.2334994 1.382126 1.1993408 8.0012309 286818.42
117 3 14 140400000 16800000 0.70077878 -1.2332231 1.3790543 1.1969979 8.0059266 286818.62
118 3 15 141600000 18000000 0.70117138 -1.2333889 1.3811634 1.19953 7.9901388 286792.73
119 3 16 142800000 19200000 0.70022998 -1.2344705 1.3788949 1.1947679 7.9888577 286789.14
120 3 17 144000000 20400000 0.69995649 -1.2339357 1.3795036 1.1955012 8.0068161 286806.11
121 3 18 145200000 21600000 0.69976969 -1.2352538 1.3802564 1.1946556 8.0124225 286794.1
122 3 19 146400000 22800000 0.69956388 -1.234495 1.3769967 1.1918461 8.0033505 286746.1
123 3 20 147600000 24000000 0.70109745 -1.2347875 1.3776541 1.1945113 8.0534912 286804.18
124 3 21 148800000 25200000 0.70006271 -1.2353515 1.3791266 1.1938677 7.9987045 286783.42
125 3 22 150000000 26400000 0.69984118 -1.2344465 1.3765137 1.1918275 8.011549 286789.93
126 3 23 151200000 27600000 0.70023561 -1.2352377 1.3745836 1.1896978 7.9848477 286724.88
