r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
29.0221   136092   -0.0231077   0.00309625   -0.0289216
29.0976   50944   -0.0320808   -0.0958204   -0.107616
29.1728   37800   -0.044597   0.0592223   -0.00332376
29.2479   56854   -0.0206724   -0.0413702   -0.000776597
29.3228   54056   -0.0353004   -0.00969456   0.037037
29.3975   41206   -0.0183338   -0.0637697   0.00196604
29.5464   53890   -0.0286764   -0.0159431   -0.023823
29.6205   50198   -0.0465565   -0.064544   -0.051974
29.6945   77118   -0.03305   -0.0399376   0.0149934
29.7683   52120   -0.0321459   -0.149809   -0.146059
29.8419   135406   -0.026954   0.0187356   -0.0164107
29.9153   83310   -0.0223792   0.0388997   -0.00930679
30.0616   24834   -0.0400805   -0.134413   -0.0494129
30.1344   111284   -0.0174527   0.0497947   0.0300713
30.2071   71482   -0.00213816   0.0381759   0.00833365
30.2797   66470   -0.0256185   0.00936626   -0.0185599
30.352   25354   -0.038346   -0.138027   0.0634324
30.4242   81268   -0.0168584   -0.142869   -0.12844
30.4962   131770   -0.0263879   -0.0670052   -0.00110197
30.6397   124560   -0.0214349   -0.0661172   0.0530001
30.7112   131910   -0.0286173   0.0309309   -0.0573932
30.7826   30334   0.0008638   -0.0936622   -0.0577198
30.8537   39662   -0.0385159   -0.0190163   -0.00816576
30.9248   76694   -0.0303509   -0.0415976   -0.0165005
30.9956   53624   -0.0318622   -0.00537425   -0.033795
31.2072   92918   -0.0309424   -0.109193   -0.00328983
31.2774   80968   -0.0292824   -0.0909033   -0.0112099
31.3474   55694   -0.0315686   0.0108778   0.062016
31.4173   50904   -0.0364818   -0.141981   0.00145561
31.4871   183700   -0.0325239   -0.0376841   -0.0326719
31.6261   51334   -0.0288106   0.0187869   0.0653478
31.6954   74754   -0.0480751   -0.0448447   0.0510857
31.7645   108876   -0.0246333   0.0340509   0.021846
31.8335   91334   -0.0329207   -0.00846741   -0.0581767
31.971   24674   -0.035404   -0.0983428   0.0139194
32.0395   103646   -0.0348709   0.0283779   -0.00746376
32.1761   16808   0.0444893   0.299804   0.0558596
32.2442   116490   -0.0247685   -0.0138466   -0.164839
32.3122   103514   -0.026589   0.0383841   -0.0071267
32.38   82900   -0.0100776   0.0021535   -0.017664
