r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
29.6712   96160   -0.0330128   -0.0286534   -0.108003
29.7398   477234   -0.0137508   -0.0231924   -0.0806971
29.8082   190486   -0.018835   -0.0222292   -0.0857142
29.8765   143906   -0.0253124   -0.0328601   -0.0840455
29.9447   191624   -0.00414438   -0.110328   -0.0740621
30.0126   189874   0.00707645   0.0068444   0.0298327
30.0805   142552   -0.00919429   -0.0546088   -0.0491692
30.2157   5326   -0.0230409   -0.271937   -0.132748
30.283   184450   -0.00553204   -0.0228648   0.0149886
30.3503   191708   -0.0184221   -0.00636149   -0.0618829
30.4173   286710   -0.0203088   -0.0627486   0.00186843
30.4843   190150   -0.0152994   -0.00974257   -0.00995141
30.6177   476826   -0.0126052   -0.0581929   -0.0662566
30.6842   285244   -0.0178907   -0.0621211   -0.0545701
30.8167   96154   -0.0233859   0.0688879   0.0708898
30.8828   382240   -0.0157914   -0.0395084   -0.0185386
30.9487   240740   0.000268784   -0.0268665   -0.0108693
31.0145   237884   -0.00801695   -0.0747712   -0.0892382
31.0801   95464   -0.00412306   -0.163752   -0.124415
31.1456   287248   -0.00300758   -0.0071842   -0.0454217
31.211   475976   -0.00730339   -0.0155457   -0.010573
31.3413   95274   0.00280484   -0.0996581   -0.0617206
31.4062   333426   -0.00838969   -0.0539498   -0.0467044
31.4711   478788   -0.00806415   -0.041926   -0.00486301
31.5357   94614   0.0266807   0.0854999   -0.133175
31.6003   142022   -0.00470342   0.00448662   -0.0129974
31.6647   285550   -0.0207354   -0.0449445   -0.0495385
31.729   189888   0.00743737   -0.0257816   -0.0907496
31.9849   332492   -0.00499157   -0.0182005   -0.0611156
32.0486   285790   -0.0101388   -0.101069   -0.0537275
32.1121   206318   -0.0165664   -0.0352629   -0.000853401
32.1755   192124   -0.0241939   -0.0316151   -0.0798017
32.2388   382442   -0.00850385   -0.0887348   -0.0183138
32.3019   285182   -0.016458   -0.0659419   0.00783366
32.4278   190454   -0.0273303   -0.0711537   -0.00461391
32.4906   286264   -0.00901631   0.00508739   -0.0242714
32.5533   381362   -0.00572898   0.0126907   -0.00742248
32.6158   335150   -0.00809395   -0.059293   -0.0262
32.7406   96824   -0.0316751   -0.0714377   -0.0681077
32.8027   378922   -0.012173   -0.014107   -0.0942627
32.9268   24296   0.037307   -0.136152   0.296179
32.9886   380184   -0.00105049   -0.021381   -0.0179736
33.0503   167070   -0.00760543   -0.0582823   -0.0250799
33.1119   190888   -0.0147463   -0.0245469   -0.0274348
33.1734   240356   -0.00675862   0.0320395   -0.0485411
33.2348   427492   -0.000964834   0.0126997   -0.024299
33.296   143430   0.00448213   -0.00604169   -0.0801776
33.4792   166844   -0.00269645   -0.0901419   0.000913818
33.54   239080   -0.0131824   -0.047711   -0.0198383
33.6007   431794   -0.0127443   -0.0439709   -0.0508291
33.6613   94696   -0.00439057   0.0754641   -0.105571
33.7218   46862   -0.0158948   -0.0591201   -0.126437
33.7821   525890   -0.0171963   -0.0256779   -0.0197385
33.8424   380658   -0.0126984   0.013728   -0.000659286
33.9626   95520   0.0156486   -0.0492722   -0.0595397
34.0226   143850   -0.0138634   -0.0539305   -0.00764701
34.0824   311672   -0.00691403   -0.0272791   -0.0131115
34.1422   237164   -0.00793896   -0.0363906   -0.0493847
34.2018   141552   -0.00522424   -0.037088   -0.0859722
34.2613   190344   -0.0186254   0.028662   -0.0280545
34.3208   333908   -0.0141713   -0.0481416   0.0128454
34.4393   95378   0.00800288   -0.042109   -0.028357
34.4985   429006   -0.00661631   0.0442872   -0.0448502
34.5575   142130   0.00676247   0.00178362   -0.0812973
34.6164   142940   -0.00558054   0.0195449   0.0695032
34.7339   335644   -0.00363921   -0.00659499   0.00340223
34.7926   284802   -0.0113283   -0.0764535   0.0291669
34.9095   17386   -0.0041252   -0.232082   -0.0758907
34.9678   54946   -0.0446224   0.0100511   0.107285
35.0261   241030   -0.0088806   -0.00282727   -0.0716829
35.0842   427512   -0.0156966   -0.012138   0.044686
35.1422   144842   -0.0242481   -0.0568807   0.000157166
35.2002   96102   -0.0163049   0.00564747   -0.0494513
35.258   333078   -0.00321411   0.00465016   -0.0391512
35.3158   239668   -0.0172524   -0.0500385   -0.0110394
35.431   238116   -0.0126087   -0.106614   -0.0381405
35.4885   286402   -0.0189473   -0.0355497   -0.0196326
35.5459   93916   -0.0152273   0.047864   -0.0654856
35.6031   286346   -0.0115398   0.00683084   -0.0346068
35.6603   112402   -0.0218389   0.0140804   -0.0488095
35.7174   142740   0.00370706   -0.0266051   0.0728975
35.7745   193522   0.00268688   -0.0482664   0.0204837
35.8882   47954   -0.0152259   0.217989   0.0492677
35.9449   332776   -0.00765991   0.0341759   -0.038715
36.0016   359900   -0.00662266   -0.020792   -0.0359408
36.0582   94214   -0.0149328   0.0341353   0.0223186
36.1146   144390   0.00300601   -0.06112   -0.0132819
36.171   141392   0.000279379   -0.00470219   0.0174261
36.2273   188310   -0.0134827   -0.0452989   0.0471397
36.3957   96046   -0.0142207   -0.0165263   -0.0040371
36.4516   239600   -0.0157941   -0.0314213   0.0671479
36.5075   430624   -0.00797532   -0.0159935   0.00218688
36.5633   190196   -0.00851904   -0.0539708   0.0125072
36.6746   240488   -0.0336275   -0.0601343   0.0135466
