 x y z label
917 27 26 0 1296
918 27 27 0 1296
919 27 28 0 0
920 27 29 0 0
921 27 30 0 0
922 27 31 0 0
923 27 32 0 0
924 28 0 0 0
925 28 1 0 0
926 28 2 0 0
927 28 3 0 0
928 28 4 0 0
929 28 5 0 0
930 28 6 0 0
931 28 7 0 0
932 28 8 0 0
933 28 9 0 0
934 28 10 0 0
935 28 11 0 0
936 28 12 0 0
937 28 13 0 0
938 28 14 0 0
939 28 15 0 0
940 28 16 0 0
941 28 17 0 0
942 28 18 0 0
943 28 19 0 0
944 28 20 0 0
945 28 21 0 50
946 28 22 0 50
947 28 23 0 0
948 28 24 0 0
949 28 25 0 0
950 28 26 0 0
951 28 27 0 0
952 28 28 0 1397
953 28 29 0 0
954 28 30 0 0
955 28 31 0 0
956 28 32 0 0
957 29 0 0 0
958 29 1 0 0
959 29 2 0 0
960 29 3 0 0
961 29 4 0 0
962 29 5 0 0
963 29 6 0 0
964 29 7 0 0
965 29 8 0 0
966 29 9 0 0
967 29 10 0 0
968 29 11 0 0
969 29 12 0 0
970 29 13 0 1380
971 29 14 0 1380
972 29 15 0 0
973 29 16 0 0
974 29 17 0 0
975 29 18 0 0
976 29 19 0 50
977 29 20 0 50
978 29 21 0 50
979 29 22 0 50
980 29 23 0 0
981 29 24 0 0
982 29 25 0 0
983 29 26 0 0
984 29 27 0 0
985 29 28 0 0
986 29 29 0 0
987 29 30 0 0
988 29 31 0 0
989 29 32 0 0
990 30 0 0 0
991 30 1 0 0
992 30 2 0 0
993 30 3 0 0
994 30 4 0 0
995 30 5 0 0
996 30 6 0 0
997 30 7 0 0
998 30 8 0 0
999 30 9 0 0
1000 30 10 0 0
1001 30 11 0 0
1002 30 12 0 0
1003 30 13 0 1380
1004 30 14 0 1380
1005 30 15 0 0
1006 30 16 0 0
1007 30 17 0 0
1008 30 18 0 0
1009 30 19 0 0
1010 30 20 0 50
1011 30 21 0 50
1012 30 22 0 0
1013 30 23 0 0
1014 30 24 0 0
1015 30 25 0 0
1016 30 26 0 0
1017 30 27 0 0
1018 30 28 0 0
1019 30 29 0 0
1020 30 30 0 0
1021 30 31 0 0
1022 30 32 0 0
1023 31 0 0 0
1024 31 1 0 0
1025 31 2 0 0
1026 31 3 0 0
1027 31 4 0 0
1028 31 5 0 0
1029 31 6 0 0
1030 31 7 0 1498
1031 31 8 0 1498
1032 31 9 0 0
1033 31 10 0 0
1034 31 11 0 1503
1035 31 12 0 0
1036 31 13 0 0
1037 31 14 0 0
1038 31 15 0 0
1039 31 16 0 0
1040 31 17 0 0
1041 31 18 0 0
1042 31 19 0 0
1043 31 20 0 0
1044 31 21 0 50
