 x y z label
454 13 25 0 656
455 13 26 0 0
456 13 27 0 0
457 13 28 0 0
458 13 29 0 0
459 13 30 0 0
460 13 31 0 0
461 13 32 0 0
462 14 0 0 0
463 14 1 0 631
464 14 2 0 0
465 14 3 0 669
466 14 4 0 669
467 14 5 0 0
468 14 6 0 0
469 14 7 0 0
470 14 8 0 0
471 14 9 0 640
472 14 10 0 640
473 14 11 0 0
474 14 12 0 0
475 14 13 0 0
476 14 14 0 0
477 14 15 0 0
478 14 16 0 0
479 14 17 0 0
480 14 18 0 0
481 14 19 0 0
482 14 20 0 0
483 14 21 0 0
484 14 22 0 0
485 14 23 0 0
486 14 24 0 0
487 14 25 0 705
488 14 26 0 705
489 14 27 0 705
490 14 28 0 0
491 14 29 0 0
492 14 30 0 0
493 14 31 0 0
494 14 32 0 0
495 15 0 0 0
496 15 1 0 631
497 15 2 0 0
498 15 3 0 0
499 15 4 0 669
500 15 5 0 0
501 15 6 0 0
502 15 7 0 0
503 15 8 0 640
504 15 9 0 640
505 15 10 0 640
506 15 11 0 0
507 15 12 0 0
508 15 13 0 0
509 15 14 0 0
510 15 15 0 0
511 15 16 0 0
512 15 17 0 0
513 15 18 0 0
514 15 19 0 0
515 15 20 0 0
516 15 21 0 0
517 15 22 0 0
518 15 23 0 0
519 15 24 0 705
520 15 25 0 705
521 15 26 0 705
522 15 27 0 0
523 15 28 0 0
524 15 29 0 765
525 15 30 0 765
526 15 31 0 0
527 15 32 0 0
528 16 0 0 0
529 16 1 0 0
530 16 2 0 0
531 16 3 0 0
532 16 4 0 0
533 16 5 0 0
534 16 6 0 0
535 16 7 0 0
536 16 8 0 640
537 16 9 0 640
538 16 10 0 640
539 16 11 0 0
540 16 12 0 0
541 16 13 0 0
542 16 14 0 0
543 16 15 0 0
544 16 16 0 0
545 16 17 0 0
546 16 18 0 0
547 16 19 0 0
548 16 20 0 0
549 16 21 0 0
550 16 22 0 0
551 16 23 0 810
552 16 24 0 705
553 16 25 0 705
554 16 26 0 0
555 16 27 0 765
556 16 28 0 765
557 16 29 0 765
558 16 30 0 0
559 16 31 0 0
560 16 32 0 0
561 17 0 0 0
562 17 1 0 0
563 17 2 0 831
564 17 3 0 0
565 17 4 0 0
566 17 5 0 0
567 17 6 0 0
568 17 7 0 0
569 17 8 0 0
570 17 9 0 0
571 17 10 0 0
572 17 11 0 0
573 17 12 0 0
574 17 13 0 0
575 17 14 0 0
576 17 15 0 848
577 17 16 0 0
578 17 17 0 849
579 17 18 0 0
580 17 19 0 0
581 17 20 0 0
582 17 21 0 807
583 17 22 0 0
584 17 23 0 0
585 17 24 0 0
586 17 25 0 0
587 17 26 0 765
588 17 27 0 765
589 17 28 0 765
590 17 29 0 765
591 17 30 0 0
592 17 31 0 0
593 17 32 0 0
594 18 0 0 0
595 18 1 0 0
596 18 2 0 0
597 18 3 0 0
598 18 4 0 0
599 18 5 0 0
600 18 6 0 0
601 18 7 0 0
602 18 8 0 0
603 18 9 0 0
604 18 10 0 0
605 18 11 0 0
606 18 12 0 798
607 18 13 0 798
608 18 14 0 0
609 18 15 0 0
610 18 16 0 0
611 18 17 0 0
612 18 18 0 807
613 18 19 0 807
614 18 20 0 0
615 18 21 0 0
616 18 22 0 0
617 18 23 0 0
618 18 24 0 0
619 18 25 0 0
620 18 26 0 0
621 18 27 0 0
622 18 28 0 765
