index time total_bonds tie_bonds f_tie n_tie_chains mean_tie_length
92 110400000 712800 158244 0.222003367003367 11874 13.326932794340577
93 111600000 712800 157694 0.2212317620650954 11913 13.237135901955847
94 112800000 712800 157789 0.22136503928170595 11904 13.25512432795699
95 114000000 712800 156849 0.2200462962962963 11828 13.260821778829895
96 115200000 712800 154896 0.2173063973063973 11659 13.28553049146582
97 116400000 712800 158172 0.2219023569023569 11949 13.23725834797891
98 117600000 712800 157824 0.22141414141414142 11820 13.35228426395939
99 118800000 712800 157228 0.22057800224466892 11769 13.35950378111989
100 120000000 712800 156731 0.2198807519640853 11888 13.183967025572006
101 121200000 712800 154234 0.21637766554433221 11693 13.190284785769263
102 122400000 712800 157155 0.2204755892255892 11941 13.160958043714931
103 123600000 712800 154821 0.21720117845117845 11612 13.332845332414744
104 124800000 712800 156036 0.2189057239057239 11743 13.287575576939453
105 126000000 712800 153352 0.21514029180695848 11661 13.150844695995197
106 127200000 712800 156908 0.2201290684624018 11858 13.23224827120931
107 128400000 712800 155906 0.21872334455667788 11810 13.201185436071126
108 129600000 712800 155872 0.21867564534231201 11737 13.280395331004515
109 130800000 712800 156322 0.21930695847362514 11723 13.334641303420627
110 132000000 712800 154521 0.21678030303030302 11637 13.278422273781903
111 133200000 712800 154574 0.21685465768799103 11610 13.31386735572782
112 134400000 712800 154307 0.2164800785634119 11701 13.18750534142381
113 135600000 712800 153880 0.21588103254769922 11716 13.134175486514168
114 136800000 712800 152853 0.21444023569023568 11690 13.075534644995724
115 138000000 712800 154522 0.21678170594837262 11840 13.050844594594595
116 139200000 712800 152660 0.21416947250280582 11625 13.132043010752689
117 140400000 712800 152669 0.2141820987654321 11782 12.957817008996775
118 141600000 712800 153634 0.21553591470258138 11780 13.041935483870967
119 142800000 712800 155065 0.21754349046015714 11878 13.054807206600438
120 144000000 712800 153539 0.21540263748597083 11778 13.036084224825947
121 145200000 712800 152575 0.21405022446689112 11705 13.035027765912004
122 146400000 712800 152652 0.21415824915824916 11731 13.012701389480863
123 147600000 712800 152911 0.2145216049382716 11549 13.240193956186683
124 148800000 712800 153270 0.21502525252525254 11657 13.148322896113923
125 150000000 712800 150697 0.211415544332211 11596 12.995601931700586
126 151200000 712800 152948 0.21457351290684623 11674 13.101593284221346
127 152400000 712800 152801 0.21436728395061727 11878 12.864202727731941
128 153600000 712800 153481 0.2153212682379349 11784 13.024524779361846
129 154800000 712800 152798 0.21436307519640854 11758 12.995237285252594
130 156000000 712800 152389 0.21378928170594838 11716 13.006913622396722
131 157200000 712800 151260 0.2122053872053872 11738 12.886352019083319
132 158400000 712800 154217 0.21635381593714928 11956 12.898711943793911
133 159600000 712800 153662 0.21557519640852973 11702 13.131259613741241
134 160800000 712800 152125 0.213418911335578 11752 12.944605173587474
135 162000000 712800 155194 0.21772446689113356 11996 12.937145715238414
136 163200000 712800 151536 0.21259259259259258 11769 12.87586031098649
137 164400000 712800 153051 0.21471801346801347 11833 12.9342516690611
138 165600000 712800 152602 0.21408810325476993 11772 12.96313285762827
139 166800000 712800 152528 0.21398428731762065 11786 12.941455964703886
140 168000000 712800 152752 0.21429854096520765 11827 12.91553225670077
141 169200000 712800 150705 0.21142676767676769 11740 12.836882453151619
142 170400000 712800 151660 0.2127665544332211 11753 12.903939419722624
143 171600000 712800 152359 0.21374719416386084 11799 12.912873972370539
144 172800000 712800 150482 0.2111139169472503 11779 12.775447830885474
145 174000000 712800 150877 0.21166806958473625 11792 12.79486092265943
146 175200000 712800 151016 0.21186307519640854 11676 12.933881466255567
147 176400000 712800 153259 0.21500982042648709 11892 12.88757147662294
148 177600000 712800 152255 0.21360129068462402 11981 12.708037726400134
149 178800000 712800 151415 0.21242283950617283 11745 12.891868880374627
150 180000000 712800 152103 0.21338804713804713 11927 12.752829714094073
151 181200000 712800 150891 0.21168771043771042 11724 12.870266120777892
152 182400000 712800 149937 0.2103493265993266 11643 12.87786652924504
153 183600000 712800 152535 0.21399410774410774 11916 12.800855991943605
154 184800000 712800 150341 0.21091610549943884 11800 12.740762711864408
155 186000000 712800 150862 0.2116470258136925 11757 12.831674746959258
156 187200000 712800 149517 0.209760101010101 11648 12.836280906593407
157 188400000 712800 152098 0.21338103254769922 11905 12.77597648047039
158 189600000 712800 152026 0.21328002244668912 11806 12.87701168897171
159 190800000 712800 151031 0.2118841189674523 11797 12.80249215902348
160 192000000 712800 151314 0.2122811447811448 11699 12.933925976579195
161 193200000 712800 153554 0.21542368125701458 11855 12.952678194854492
162 194400000 712800 152055 0.21332070707070708 11941 12.73385813583452
163 195600000 712800 150647 0.21134539842873176 11773 12.795973838443897
164 196800000 712800 152531 0.2139884960718294 12050 12.658174273858922
165 198000000 712800 152027 0.2132814253647587 11907 12.767867640883514
166 199200000 712800 150204 0.21072390572390573 11959 12.55991303620704
167 200400000 712800 150924 0.21173400673400675 11740 12.855536626916525
168 201600000 712800 150711 0.2114351851851852 11772 12.80249745158002
169 202800000 712800 150867 0.2116540404040404 11866 12.714225518287543
170 204000000 712800 150239 0.21077300785634118 11807 12.724570170237994
171 205200000 712800 149335 0.2095047699214366 11777 12.680224165746795
172 206400000 712800 152013 0.2132617845117845 11961 12.709054426887384
173 207600000 712800 151621 0.2127118406285073 11872 12.77131064690027
174 208800000 712800 151441 0.21245931537598203 11861 12.767979091139027
